freq [Hz]	dBv	Phase [deg]
20	76.580085	68.188499
21	77.066198	65.832159
22	76.973283	64.778806
23	77.569509	61.332481
24	76.639437	60.111468
25	77.084669	65.008047
26	77.317414	66.077034
27	77.859207	65.85982
28	78.025108	66.192792
29	78.226773	65.820036
30	78.423124	67.021486
31	78.647	67.847179
32	78.947776	69.117485
33	79.408617	70.22807
34	79.818077	69.784875
35	80.173368	69.916662
36	80.540039	69.393417
37	80.859876	68.636607
38	81.134436	67.778401
39	81.32532	66.784783
40	81.407374	66.433494
41	81.561703	66.985615
42	81.889306	67.168982
43	82.067053	66.883697
44	82.326689	67.239079
45	82.607467	66.990506
46	82.851535	66.521721
47	83.079478	66.302119
48	83.241208	65.987261
49	83.528708	66.052875
50	83.777176	65.576385
51	84.027225	64.906594
52	84.245146	64.401363
53	84.495835	63.849854
54	84.761615	62.864493
55	84.978311	61.583842
56	85.107146	60.207721
57	85.147044	59.376503
58	85.265817	59.149411
59	85.403857	58.949484
60	85.593335	58.535711
61	85.785661	57.969966
62	85.930839	57.109132
63	86.053441	56.420944
64	86.165381	55.725549
65	86.270977	55.093529
66	86.373614	54.454111
67	86.475353	53.841899
68	86.583595	53.174953
69	86.697961	52.466473
70	86.794601	51.732926
71	86.898392	50.984566
72	87.003278	50.243509
73	87.088384	49.41556
74	87.161466	48.703866
75	87.240146	48.02973
76	87.318822	47.38662
77	87.38732	46.658218
78	87.453436	46.016422
79	87.51207	45.294189
80	87.551981	44.650632
81	87.589111	44.148606
82	87.632914	43.721783
83	87.692703	43.304795
84	87.758498	42.890994
85	87.826724	42.36434
86	87.878864	41.805933
87	87.926162	41.332017
88	87.982203	40.851066
89	88.030714	40.357184
90	88.079114	39.914151
91	88.145869	39.499353
92	88.218649	39.049576
93	88.309021	38.470319
94	88.398611	37.721319
95	88.462938	36.790441
96	88.493775	35.834433
97	88.491389	34.953218
98	88.469266	34.298992
99	88.451746	33.896033
100	88.441101	33.359721
101	88.453222	33.355782
102	88.499958	33.015948
103	88.563894	32.52835
104	88.609977	31.882993
105	88.622018	31.176615
106	88.628906	30.680426
107	88.652903	30.143572
108	88.666907	29.539969
109	88.671987	28.952635
110	88.679771	28.37062
111	88.666173	27.774091
112	88.656862	27.265701
113	88.644803	26.749387
114	88.62892	26.277872
115	88.607904	25.769294
116	88.582571	25.251492
117	88.524585	24.83664
118	88.466323	24.635068
119	88.424369	24.631777
120	88.416099	24.638986
121	88.426858	24.643263
122	88.45114	24.503138
123	88.476926	24.238554
124	88.489529	23.892414
125	88.493422	23.531993
126	88.486221	23.1687
127	88.468793	22.82953
128	88.4452	22.549034
129	88.421389	22.340823
130	88.401968	22.142914
131	88.381393	21.974732
132	88.360984	21.824928
133	88.340428	21.713135
134	88.32152	21.6194
135	88.29745	21.617181
136	88.292702	21.666125
137	88.294329	21.788082
138	88.3178	21.863977
139	88.359971	21.89431
140	88.405227	21.75819
141	88.442628	21.522544
142	88.465449	21.257197
143	88.478508	21.002092
144	88.486261	20.832385
145	88.501181	20.701677
146	88.541482	20.562916
147	88.568442	20.240956
148	88.592971	19.889614
149	88.596565	19.51761
150	88.586959	19.183396
151	88.574272	18.947407
152	88.563465	18.801271
153	88.558337	18.725155
154	88.561485	18.668557
155	88.604824	18.562996
156	88.637239	18.430606
157	88.666452	17.89259
158	88.673227	17.611381
159	88.668477	17.293684
160	88.678752	16.997844
161	88.686766	16.670743
162	88.686419	16.308451
163	88.682151	15.924615
164	88.669768	15.543222
165	88.643819	15.161167
166	88.61369	14.859893
167	88.584174	14.631255
168	88.555562	14.390281
169	88.526594	14.20369
170	88.498953	14.033568
171	88.472434	13.915437
172	88.462011	13.755128
173	88.436588	13.568254
174	88.411278	13.343772
175	88.370924	13.181308
176	88.328929	13.106275
177	88.292619	13.098769
178	88.25863	13.141909
179	88.239799	13.188618
180	88.228007	13.351453
181	88.237947	13.335884
182	88.241438	13.273785
183	88.24026	13.184416
184	88.24298	13.060161
185	88.230961	12.879498
186	88.212588	12.72447
187	88.187874	12.591576
188	88.156114	12.502814
189	88.119801	12.464996
190	88.079111	12.534869
191	88.056015	12.681497
192	88.038704	12.875654
193	88.04111	13.019874
194	88.042191	13.120333
195	88.044098	13.229243
196	88.053312	13.352539
197	88.07804	13.437479
198	88.103123	13.391044
199	88.118871	13.251516
200	88.124345	13.139999
201	88.115691	12.969039
202	88.101956	12.909394
203	88.089816	12.891731
204	88.081455	12.887571
205	88.077175	12.877822
206	88.071513	12.834843
207	88.062161	12.788589
208	88.045459	12.749583
209	88.022385	12.739129
210	87.998309	12.796842
211	87.973875	12.884466
212	87.947731	13.039867
213	87.924682	13.271549
214	87.913414	13.551419
215	87.913573	13.85428
216	87.910766	14.141614
217	87.920803	14.518347
218	87.941761	14.897423
219	87.976468	15.308411
220	88.030751	15.737695
221	88.118041	16.08611
222	88.229598	16.1538
223	88.321917	15.910917
224	88.364433	15.60925
225	88.400741	15.302958
226	88.406096	15.198946
227	88.426713	15.154948
228	88.455893	15.099044
229	88.484302	15.026643
230	88.506093	14.938117
231	88.52095	14.949146
232	88.557408	15.077825
233	88.630113	15.184184
234	88.72494	14.97036
235	88.79967	14.495865
236	88.838705	13.90711
237	88.843147	13.319879
238	88.824477	12.896566
239	88.797628	12.624803
240	88.787454	12.462993
241	88.784454	12.283557
242	88.777064	12.051281
243	88.758632	11.845876
244	88.726153	11.764961
245	88.708692	11.810785
246	88.704887	11.878185
247	88.705718	11.94924
248	88.716007	12.012944
249	88.72786	12.074454
250	88.741199	12.156576
251	88.764746	12.311387
252	88.815303	12.460253
253	88.884333	12.428143
254	88.942137	12.223697
255	88.988742	11.991297
256	89.032596	11.728247
257	89.068642	11.415413
258	89.099581	11.072026
259	89.11632	10.741787
260	89.131254	10.467471
261	89.15666	10.200224
262	89.185219	9.86705
263	89.203109	9.411812
264	89.203033	8.982975
265	89.198997	8.582087
266	89.185423	8.170747
267	89.161134	7.785836
268	89.122216	7.451954
269	89.076144	7.260901
270	89.036231	7.22478
271	89.021163	7.250609
272	89.016419	7.191136
273	89.012412	7.160021
274	89.017664	7.094315
275	89.023132	6.979297
276	89.030612	6.855708
277	89.038096	6.683219
278	89.033897	6.478424
279	89.02048	6.314202
280	89.007579	6.337986
281	89.027176	6.368466
282	89.065961	6.311074
283	89.110227	6.046848
284	89.139878	5.664307
285	89.157035	5.227882
286	89.156294	4.734571
287	89.13663	4.232614
288	89.096766	3.814243
289	89.041926	3.542793
290	89.000336	3.446495
291	88.978144	3.325728
292	88.959496	3.194873
293	88.942161	3.022351
294	88.92226	2.791448
295	88.887584	2.578802
296	88.84768	2.454133
297	88.813241	2.402059
298	88.781095	2.367358
299	88.75769	2.411967
300	88.753855	2.465714
301	88.753568	2.415931
302	88.765097	2.301683
303	88.763334	2.046446
304	88.739501	1.808774
305	88.712187	1.624578
306	88.677162	1.517041
307	88.653208	1.47895
308	88.6388	1.410619
309	88.619265	1.263193
310	88.594053	1.198319
311	88.576575	1.180631
312	88.575943	1.044401
313	88.561802	0.866636
314	88.536784	0.606134
315	88.493939	0.444945
316	88.453742	0.350489
317	88.414457	0.288341
318	88.37558	0.253331
319	88.340526	0.235873
320	88.305192	0.252621
321	88.275185	0.250319
322	88.242368	0.251891
323	88.210051	0.263947
324	88.176059	0.293927
325	88.141672	0.333
326	88.10493	0.402887
