   freq [Hz]          Ohm  Phase [deg]
   20.000000    25.826851    53.723548
   21.000000    32.431144    49.403878
   22.000000    40.878985    41.170733
   23.000000    51.037832    27.831688
   24.000000    59.639565     8.359379
   25.000000    59.797960   -13.287667
   26.000000    52.388210   -32.071647
   27.000000    43.392674   -44.562092
   28.000000    35.859981   -52.272310
   29.000000    30.199235   -57.143498
   30.000000    26.020951   -60.038587
   31.000000    22.841134   -61.801306
   32.000000    20.379448   -62.780565
   33.000000    18.482886   -63.297072
   34.000000    16.897767   -63.627131
   35.000000    15.585320   -63.611622
   36.000000    14.482013   -63.416659
   37.000000    13.546658   -63.075575
   38.000000    12.740253   -62.587570
   39.000000    12.041989   -62.038818
   40.000000    11.441604   -61.433635
   41.000000    10.905114   -60.786972
   42.000000    10.425224   -60.122005
   43.000000     9.995996   -59.410219
   44.000000     9.610904   -58.654674
   45.000000     9.264758   -57.877767
   46.000000     8.949706   -57.091471
   47.000000     8.668157   -56.273663
   48.000000     8.411793   -55.484162
   49.000000     8.176499   -54.692566
   50.000000     7.956648   -53.908282
   51.000000     7.754933   -53.093039
   52.000000     7.571314   -52.273770
   53.000000     7.404337   -51.475805
   54.000000     7.249340   -50.703821
   55.000000     7.103182   -49.947349
   56.000000     6.966685   -49.197076
   57.000000     6.837518   -48.454426
   58.000000     6.716048   -47.706260
   59.000000     6.602709   -46.955177
   60.000000     6.497006   -46.205784
   61.000000     6.399931   -45.474533
   62.000000     6.306993   -44.759016
   63.000000     6.218806   -44.049726
   64.000000     6.136019   -43.341529
   65.000000     6.057630   -42.645564
   66.000000     5.983499   -41.939592
   67.000000     5.914425   -41.250891
   68.000000     5.849589   -40.566721
   69.000000     5.787877   -39.896776
   70.000000     5.729568   -39.225316
   71.000000     5.675589   -38.572294
   72.000000     5.623514   -37.925725
   73.000000     5.574454   -37.290548
   74.000000     5.528097   -36.662821
   75.000000     5.483682   -36.041137
   76.000000     5.441835   -35.427429
   77.000000     5.402286   -34.820291
   78.000000     5.365243   -34.216909
   79.000000     5.330447   -33.625086
